"","Species","Range_size_km","Bill_Nares","Bill_Width","Bill_Depth","Tarsus_Length","Secondary1","Wing_Chord","Hand.Wing.Index..Claramunt.2011.","Tail_Length","Mass","Diet.Inv","Diet.Vend","Diet.Vect","Diet.Vfish","Diet.Vunk","Diet.Scav","Diet.Fruit","Diet.Nect","Diet.Seed","Diet.PlantO","ForStrat.watbelowsurf","ForStrat.wataroundsurf","ForStrat.ground","ForStrat.understory","ForStrat.midhigh","ForStrat.canopy","ForStrat.aerial"
"172","Dicrurus_leucophaeus",8417597.07607206,16.6,8.9,8.1625,17.775,91,130.375,30.10929264,135.5,37.6,80,10,10,0,0,0,0,0,0,0,0,0,0,0,40,30,30
"173","Dicrurus_macrocercus",8666638.40968366,15.3875,7.7125,8.1625,20.825,99.2625,136.325,27.11140206,143.875,48.3,40,10,10,0,0,10,0,20,10,0,0,0,0,0,33,33,33
"1058","Dicrurus_remifer",3847688.60429918,13.675,7.275,8.125,17,95.925,129.75,26.01492442,109.25,43.1,90,0,0,0,0,0,0,10,0,0,0,0,0,20,30,30,20
"1059","Diglossa_baritula",672411.600751314,7.255,2.29,3.7725,17.74,45.575,56.75,19.69363063,43.8125,9.2,50,0,0,0,0,0,0,50,0,0,0,0,0,40,30,30,0
"174","Dinopium_benghalense",3860140.67097976,27.075,8.516,8.839,25.242,108.884,138.596,21.44856715,89.473,100,80,0,0,0,0,0,10,10,0,0,0,0,10,30,30,30,0
"1060","Diopsittaca_nobilis",6288293.67369286,26,19.6,30.175,15.425,93.4,171.25,45.46680221,147.55,150.91,0,0,0,0,0,0,50,0,50,0,0,0,20,20,40,20,0
"175","Diuca_diuca",2465509.20275482,10.825,5.35,7.8,21.52,65.175,86,23.53555676,68,36.8,0,0,0,0,0,0,0,0,100,0,0,0,80,20,0,0,0
"176","Dives_dives",1083329.80121045,18.57909091,7.127272727,10.09363636,36.77363636,104.75,119,12.40650122,123.6363636,91.32,100,0,0,0,0,0,0,0,0,0,0,0,80,10,10,0,0
"1061","Donacobius_atricapilla",10521996.3450901,14.8725,4.6375,5.432,31.04,72.52,80.692,9.633473768,99.694,36.8,100,0,0,0,0,0,0,0,0,0,0,0,0,50,50,0,0
"1062","Donacospiza_albifrons",2328536.46926844,7.1,3.825,4.55,16.5,48.075,56.75,15.28471165,68,16.5,40,0,0,0,0,0,20,0,30,10,0,0,80,20,0,0,0
"1063","Dromococcyx_pavoninus",4308415.07148063,16.36625,5.52,5.2625,27.29,99.96875,127.875,21.80915986,161,46.4,100,0,0,0,0,0,0,0,0,0,0,0,50,50,0,0,0
"1064","Dromococcyx_phasianellus",11630230.2796617,16.16333333,5.432222222,5.516666667,31.11333333,120.5677778,162.2222222,25.67997796,218.2222222,84.5,90,0,10,0,0,0,0,0,0,0,0,0,50,30,20,0,0
"1065","Drymophila_ferruginea",834288.467598855,9.475,4.075,4.088,18.878,50.075,53.742,5.97966848,60.486,10.6,100,0,0,0,0,0,0,0,0,0,0,0,0,30,70,0,0
