Jetz species,Jetz_species_modified,Individuals,Count_F,Count_M,Count_U,Bill_TotalCulmen,Bill_Nares,Bill_Width,Bill_Depth,Tarsus_Length,Kipp's_Distance,Secondary1,Wing_Chord,Hand-Wing Index (Claramunt 2011),Tail_Length,Mass,Habitat,Inferred species?,Species inferred from,Inferred traits?,Traits inferred,Species traits inferred from
Melithreptus gularis,Melithreptus_gularis,4,3,0,1,17.3,8.25,3.4,3.95,18.9,23.075,60.175,83.25,27.66849003,64.5,19.44,2,NO,,NO,,
Melithreptus lunatus,Melithreptus_lunatus,5,2,2,1,13.52,7.175,2.9,3.9,17.16,20.675,54.325,74.86,27.60875566,58.76,14.01,2,NO,,NO,,
Melithreptus validirostris,Melithreptus_validirostris,4,0,4,0,19.975,10.4,4.375,4.65,20.9,19.325,63.05,82.375,23.45194411,70.25,24.8,1,NO,,NO,,
Melitograis gilolensis,Melitograis_gilolensis,4,2,2,0,35.55,20.15,4.2,6.4,26.7,19.5,85.625,105.125,18.52777801,97,54,1,NO,,NO,,
Mellisuga helenae,Mellisuga_helenae,4,0,4,0,12.175,8.575,1.05,1.025,3.033333333,17.75,10.475,28.225,62.88803791,17,2.2,2,NO,,NO,,
Mellisuga minima,Mellisuga_minima,4,1,0,3,11.2,8.55,1.3,1.125,3.55,23.325,12.95,36.275,64.28695683,19.25,2.4,2,NO,,NO,,
Melocichla mentalis,Melocichla_mentalis,5,2,2,1,19.684,10.6,3.775,5.3,27.602,4.7,70.3,74.8,6.265253299,90.6,33.2,2,NO,,NO,,
Melophus lathami,Melophus_lathami,4,2,2,0,15.575,9.3,4.425,6.35,19.975,13.775,64.85,78.625,17.45664028,68,21.9,3,NO,,NO,,
Melopsittacus undulatus,Melopsittacus_undulatus,4,2,2,0,12.7,11.25,7.3,10.95,12.475,48.4,46.85,95.25,50.82055221,90.5,28.99,3,NO,,NO,,
Melopyrrha nigra,Melopyrrha_nigra,4,2,2,0,13.075,8.175,5.975,9.75,18.15,11.05,56.45,67.5,16.33501235,59.25,14.88,1,NO,,NO,,
Melospiza georgiana,Melospiza_georgiana,5,2,2,1,13.9,8.175,4.125,5.225,21.42,11.95,50.425,62.1,19.1457063,56.8,16.1,2,NO,,NO,,
Melospiza lincolnii,Melospiza_lincolnii,5,2,2,1,13.04,8.025,3.975,5.05,20.16,14.3,49.7,63.4,22.32394026,56.6,16.6,2,NO,,NO,,
Melospiza melodia,Melospiza_melodia,4,2,2,0,13.425,8.5,5.175,6.85,21.2,13.525,52.225,65.75,20.63416854,66.5,21.91,2,NO,,NO,,
Melozone biarcuata,Melozone_biarcuata,4,2,2,0,14.725,9,5.125,7.325,25.55,6,64.75,70.75,8.576278686,69.25,30.6,2,NO,,NO,,
Melozone cabanisi,Melozone_cabanisi,4,2,2,0,14.825,9.25,5.275,7.95,23.775,6.625,61.625,68.25,9.691499677,61.33333333,28,2,NO,,NO,,
Melozone kieneri,Melozone_kieneri,4,2,2,0,16.525,10.9,5.9,8.325,25.85,7.9,71.85,79.75,9.912877012,73.5,38.7,2,NO,,NO,,
Melozone leucotis,Melozone_leucotis,4,2,2,0,16.6,10.625,5.85,8.3,27.725,6.9,74.6,81.5,8.444760769,71,39.9,1,NO,,NO,,
Menura alberti,Menura_alberti,5,2,2,1,41.46,15.825,7.025,7.825,103.84,8.35,252.15,260.6,3.246813694,455.92,928,1,NO,,NO,,
Menura novaehollandiae,Menura_novaehollandiae,5,2,2,1,42.57,16.625,6.65,7.5,109.18,5.675,281.575,284.1,1.970630487,542.38,972.62,1,NO,,NO,,
Merganetta armata,Merganetta_armata,4,2,2,0,32.55,20.975,9.675,10.225,34.625,63.1,106.4,169.5,37.37718716,109.25,398.82,3,NO,,NO,,
Mergellus albellus,Mergellus_albellus,4,2,2,0,29.25,17.975,8,9.3,27.8,98.75,85.5,184.25,53.77790974,64.25,608.55,3,NO,,NO,,
Mergus merganser,Mergus_merganser,4,2,2,0,65.775,38.375,10.3,11.6,52.675,120.65,152.6,273.25,44.13189757,98.25,1451.02,3,NO,,NO,,
Mergus octosetaceus,Mergus_octosetaceus,4,2,1,1,56.1,36.225,7.925,10.4,38.625,79.15,117.1,196.25,40.35202592,81,983,3,NO,,NO,,
Mergus serrator,Mergus_serrator,4,2,2,0,62.575,42.75,8.2,10.675,47.05,114.05,119.45,233.5,48.84826923,75.5,1015.17,3,NO,,NO,,
Mergus squamatus,Mergus_squamatus,4,1,3,0,60.125,33.7,8.2,9.825,43.475,124.425,131.825,256.25,48.53624043,99,1234,3,NO,,NO,,
Meropogon forsteni,Meropogon_forsteni,1,0,1,0,46.5,36.6,7,8,13.8,35,78,113,30.97345133,168,55,1,NO,,NO,,
Merops albicollis,Merops_albicollis,4,2,2,0,29.9,23.275,5.5,5.775,11,32.5,64.5,97,33.49616442,166,25.9,3,NO,,NO,,
Merops apiaster,Merops_apiaster,4,2,2,0,41.4,31.375,8.875,8.35,11.9,66.025,77.1,143.125,46.13563249,105.75,56.6,2,NO,,NO,,
Merops boehmi,Merops_boehmi,4,2,2,0,29.925,22.45,5.75,4.825,11.6,21.75,58.5,80.25,27.11248828,69.75,16.6,2,NO,,NO,,
Merops breweri,Merops_breweri,4,2,2,0,47.675,36.775,8.4,9.775,12.725,29,92.5,121.5,23.87175042,148.25,49.74,1,NO,,NO,,
Merops bullockoides,Merops_bullockoides,4,2,2,0,37.1,28.875,6.475,6.7,12.3,28.5,84.5,113,25.24706653,94.25,34.8,2,NO,,NO,,
Merops bulocki,Merops_bulocki,4,2,2,0,36.325,28.725,5.775,5.95,12.65,26.75,74.25,101,26.50135014,93,23.1,3,NO,,NO,,
Merops gularis,Merops_gularis,4,2,2,0,34.4,26.825,5.975,6.1,11.625,28.5,60.25,88.75,32.09183259,71.5,27.3,1,NO,,NO,,
Merops hirundineus,Merops_hirundineus,4,2,2,0,32.15,24.8,5.9,5.2,11.125,35,59,94,37.21693841,90.25,21.7,2,NO,,NO,,
Merops leschenaulti,Merops_leschenaulti,4,2,2,0,38.3,28.85,7.5,6.275,11.1,43.725,62.025,105.75,41.36177249,80,27.2,2,NO,,NO,,
Merops malimbicus,Merops_malimbicus,4,2,2,0,42.4,31.75,6.925,6.675,12.35,66.55,67.95,134.5,49.48424606,111.5,50.37,2,NO,,NO,,
Merops muelleri,Merops_muelleri,8,4,4,0,33.91875,25.6575,5.98125,5.7075,10.245,22.7275,62.75625,85.48375,26.54610055,77.28375,22.5,1,NO,,NO,,
Merops nubicoides,Merops_nubicoides,4,2,2,0,42.525,31.475,7.425,9.25,12.725,68.7,83.3,152,45.1903059,202,42.4,2,NO,,NO,,
