BirdTree,Genera
Crotophaga_major,Crotophaga
Crypturellus_undulatus,Crypturellus
Eleothreptus_anomalus,Eleothreptus
Nyctidromus_albicollis,Nyctidromus
Falco_deiroleucus,Falco
Falco_rufigularis,Falco
Gampsonyx_swainsonii,Gampsonyx
Geranospiza_caerulescens,Geranospiza
Buteo_albicaudatus,Buteo
Pionus_maximiliani,Pionus
Herpetotheres_cachinnans,Herpetotheres
Hydropsalis_torquata,Hydropsalis
Dryocopus_lineatus,Dryocopus
Sittasomus_griseicapillus,Sittasomus
Alectrurus_risora,Alectrurus
Cacicus_solitarius,Cacicus
Casiornis_rufus,Casiornis
Cyanocompsa_brissonii,Cyanocompsa
Empidonomus_aurantioatrocristatus,Empidonomus
Herpsilochmus_atricapillus,Herpsilochmus
Leptodon_cayanensis,Leptodon
Lurocalis_semitorquatus,Lurocalis
Poospiza_melanoleuca,Poospiza
Megaceryle_torquata,Megaceryle
Micrastur_semitorquatus,Micrastur
Nonnula_rubecula,Nonnula
Odontophorus_capueira,Odontophorus
Ortalis_canicollis,Ortalis
Rhea_americana,Rhea
Pyrrhura_frontalis,Pyrrhura
Ramphastos_dicolorus,Ramphastos
Rhynchotus_rufescens,Rhynchotus
Rostrhamus_sociabilis,Rostrhamus
Caprimulgus_parvulus,Caprimulgus
Strix_hylophila,Strix
Trogon_surrucura,Trogon
Anthus_lutescens,Anthus
Euscarthmus_meloryphus,Euscarthmus
Myiopagis_viridicata,Myiopagis
Phacellodomus_sibilatrix,Phacellodomus
Schoeniophylax_phryganophilus,Schoeniophylax
Suiriri_suiriri,Suiriri
Tityra_cayana,Tityra
Xenopsaris_albinucha,Xenopsaris
Accipiter_bicolor,Accipiter
Gnorimopsar_chopi,Gnorimopsar
Philydor_lichtensteini,Philydor
Nyctibius_griseus,Nyctibius
Polytmus_guainumbi,Polytmus
Mimus_triurus,Mimus
Sarcoramphus_papa,Sarcoramphus
Polystictus_pectoralis,Polystictus
Anthus_chacoensis,Anthus
Arundinicola_leucocephala,Arundinicola
Campylorhamphus_trochilirostris,Campylorhamphus
Certhiaxis_cinnamomeus,Certhiaxis
